"Treatment","GPP (g C)","Rg (g C)","Rm (g C)","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Cflit (g C)","Crlit (g C)"
"ambient drought",9159.77335324274,2038.89042625857,2438.81948640426,10.7148585912444,1133.94100853895,1389.95684001944,1953.02225198688,80.5271440010856,113.901337442312
"ambient watered",11011.9029818596,2548.00423370248,2921.85544886067,13.3910104225339,1304.63130891775,1167.47385048566,2842.67839551762,124.19096950132,89.6777644515406
"elevated drought",10606.7238539331,2254.10373971102,3435.80273396368,14.9363537577763,1239.66926058197,906.724910211149,2536.55667801568,104.516376043305,114.413801648539
"elevated watered",11464.8356315141,2073.69915100627,3991.11459559852,14.8230605234735,1715.05449320773,1008.84184299776,2409.73778163718,133.41386331158,118.150843231566
