"Treatment","GPP (g C)","Rg (g C)","Rm (g C)","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Cflit (g C)","Crlit (g C)"
"ambient drought",9159.77335324274,1565.89210228916,2450.14643325294,204.728090877273,970.797635380413,1468.36128717957,2252.28927156422,69.3063433012494,178.252189397906
"ambient watered",11011.9029818596,1967.54047736296,3134.32208687447,177.772025563296,1516.93553279448,1139.30566990161,2800.58906736097,106.997203573159,168.440918428642
"elevated drought",10606.7238539331,1269.81645952833,3549.70687383485,726.547160750054,1291.31658277381,846.625759988461,2749.30836933894,109.545625518002,63.8570222006831
"elevated watered",11464.8356315141,1482.88661962571,3692.95075784273,598.283471963128,1333.69696167337,743.086330423818,3408.99201579347,122.404576134164,82.5348980576847
